,rating
0,4.0
1,4.0
2,4.0
3,5.0
4,3.0
5,5.0
6,4.0
7,5.0
8,5.0
9,5.0
10,5.0
11,3.0
12,4.0
13,5.0
14,3.0
15,3.0
16,5.0
17,4.0
18,4.0
19,5.0
20,4.0
21,3.0
22,4.0
23,5.0
24,4.0
25,3.0
26,5.0
27,4.0
28,4.0
29,5.0
30,4.0
31,4.0
32,4.0
33,5.0
34,5.0
35,3.0
36,5.0
37,3.0
38,4.0
39,3.0
40,4.0
41,5.0
42,5.0
43,5.0
44,4.0
45,5.0
46,3.0
47,5.0
48,5.0
49,5.0
50,5.0
51,3.0
52,5.0
53,5.0
54,5.0
55,4.0
56,5.0
57,5.0
58,5.0
59,4.0
60,5.0
61,5.0
62,4.0
63,5.0
64,5.0
65,5.0
66,5.0
67,4.0
68,5.0
69,5.0
70,4.0
71,2.0
72,5.0
73,5.0
74,5.0
75,5.0
76,5.0
77,5.0
78,3.0
79,4.0
80,5.0
81,5.0
82,5.0
83,5.0
84,5.0
85,5.0
86,3.0
87,3.0
88,3.0
89,3.0
90,4.0
91,5.0
92,4.0
93,5.0
94,5.0
95,5.0
96,4.0
97,5.0
98,3.0
99,3.0
100,5.0
101,4.0
102,5.0
103,4.0
104,4.0
105,5.0
106,5.0
107,4.0
108,4.0
109,5.0
110,4.0
111,5.0
112,4.0
113,5.0
114,4.0
115,5.0
116,4.0
117,5.0
118,5.0
119,5.0
120,3.0
121,5.0
122,4.0
123,4.0
124,4.0
125,5.0
126,5.0
127,5.0
128,5.0
129,5.0
130,4.0
131,5.0
132,4.0
133,4.0
134,2.0
135,4.0
136,4.0
137,5.0
138,5.0
139,2.0
140,5.0
141,4.0
142,5.0
143,2.0
144,5.0
145,4.0
146,3.0
147,5.0
148,4.0
149,5.0
150,5.0
151,4.0
152,5.0
153,3.0
154,5.0
155,5.0
156,5.0
157,5.0
158,4.0
159,2.0
160,4.0
161,4.0
162,5.0
163,4.0
164,4.0
165,5.0
166,3.0
167,5.0
168,5.0
169,4.0
170,4.0
171,5.0
172,5.0
173,5.0
174,4.0
175,5.0
176,5.0
177,5.0
178,5.0
179,5.0
180,4.0
181,5.0
182,5.0
183,4.0
184,5.0
185,5.0
